Courses offered data for 2022-23 semester 02,,,,,,,,,,,,,,,
Slno,Course Code,Course Name,Course Category,Course Type,Department,Credits,Lectures,Tutorial,Practical,Course cordinator Id,Course cordinator Name,Course Instructor Id,Course Instructor Name,Semester/Batch,Students registered
1,HSL022P6G,Cognitive Psychology,Open Elective,THEORY,HU,3,3,0,0,IITJMU11062,Amitash Ojha,,,2019-20_2020-21_2021-22_2022-23,1
2,EEP076P1M,Advanced System Design Lab.,Departmental Practical,PRACTICAL,EE,2,0,0,3,IITJMU11071,Ambika Prasad Shah,,,2019-20_2020-21_2021-22_2022-23,13
3,MTS200U3X,UG Seminar,Credit Earning Course,TRAINING / SEMINAR,MT,1,0,0,2,IITJMU11060,Shantanu Vijay Madge,,,2019-20_2020-21_2021-22_2022-23,20
4,EEL005P5E,Information Theory and Coding,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11014,Ravikant Saini,,,2019-20_2020-21_2021-22_2022-23,2
5,EED012U2M,Digital Design and Microcomputers,Departmental Core,THEORY,EE,3,3,1,0,IITJMU11034,Ankit Dubey,,,2019-20_2020-21_2021-22_2022-23,42
6,EED003U2M,Engineering Electromagnetics,Departmental Core,THEORY,EE,3,3,1,0,IITJMU40008,Jegannathan Srinivasan,,,2019-20_2020-21_2021-22_2022-23,38
7,EED015U3M,Power Engineering,Departmental Core,THEORY,EE,3,3,1,0,IITJMU11002,Anup Shukla,,,2019-20_2020-21_2021-22_2022-23,36
8,EEP012U2M,Digital Design and Microcomputers Laboratory,Departmental Practical,PRACTICAL,EE,1,0,0,2,IITJMU11034,Ankit Dubey,,,2019-20_2020-21_2021-22_2022-23,38
9,EEP015U3M,Power Engineering Laboratory,Departmental Practical,PRACTICAL,EE,1,0,0,2,IITJMU11002,Anup Shukla,,,2019-20_2020-21_2021-22_2022-23,36
10,EEP003U2M,Engineering Electromagnetics Laboratory,Departmental Practical,PRACTICAL,EE,1,0,0,2,IITJMU40008,Jegannathan Srinivasan,,,2019-20_2020-21_2021-22_2022-23,38
11,EEL016U3M,Analog Electronics,Departmental Core,THEORY,EE,3,3,0,0,IITJMU11044,Kankat Ghosh,,,2019-20_2020-21_2021-22_2022-23,36
12,EEP016U3M,Analog Electronics Laboratory,Departmental Practical,PRACTICAL,EE,1,0,0,2,IITJMU11044,Kankat Ghosh,,,2019-20_2020-21_2021-22_2022-23,36
13,EEL005P1M,Adaptive Signal Processing,Departmental Core,THEORY,EE,3,3,0,0,IITJMU11009,Karan Nathwani,,,2019-20_2020-21_2021-22_2022-23,15
14,EEL006P1M,Antenna & Wave Propagation,Departmental Core,THEORY,EE,3,3,0,0,IITJMU11004,Kushmanda Saurav,,,2019-20_2020-21_2021-22_2022-23,25
15,EEL007P1M,Detection & Estimation Theory,Departmental Core,THEORY,EE,3,3,0,0,IITJMU11064,Ankur Bansal,,,2019-20_2020-21_2021-22_2022-23,19
16,EEL064U3E,Digital Communications,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11021,Ajay Singh,,,2019-20_2020-21_2021-22_2022-23,23
17,EEL079P5E,Wireless Communications,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11034,Ankit Dubey,,,2019-20_2020-21_2021-22_2022-23,23
18,EEZ112P2M,Dissertation-II,Dissertation,DISSERTATION,EE,12,0,0,24,IITJMU11010,Badri Narayan Subudhi,,,2019-20_2020-21_2021-22_2022-23,14
19,EEP082U3G,Hardware Description Language Laboratory,Departmental Core,PRACTICAL,EE,1,0,0,2,IITJMU11043,Satyadev Ahlawat,IITJMU11071,Ambika Prasad Shah,2019-20_2020-21_2021-22_2022-23,34
20,CHL030P6G,Biochemical Engineering,Departmental Elective,THEORY,CH,3,3,0,0,IITJMU11081,Ashutosh Yadav,IITJMU11069,Dharitri Rath,2019-20_2020-21_2021-22_2022-23,25
21,EFL005U1M,Basic Electronics Engineering,Institute Core - Engineering Foundation,THEORY,EE,3,3,0,0,IITJMU11026,Alok Kumar Saxena,,,2019-20_2020-21_2021-22_2022-23,38
22,DIP005U3M,Product Development - II,Design Core,PROJECT,EE,1,0,0,2,IITJMU11044,Kankat Ghosh,IITJMU11016_IITJMU11029_IITJMU11059_IITJMU11067_IITJMU11075,Rajendra Kumar Varma_Vijay Kumar Pal_Subhasis Bhattacharjee_Yogesh Madhukarrao Nimdeo_Srishilan C,2019-20_2020-21_2021-22_2022-23,173
23,EE-1-03(TO),Electronics System,Engineering Core,THEORY,EE,3,3,1,0,IITJMU11107,Archana Rajput,,,2022-23,79
24,EED001U2M,Network Analysis and Synthesis,Departmental Core,THEORY,EE,3,3,1,0,IITJMU11010,Badri Narayan Subudhi,,,2019-20_2020-21_2021-22_2022-23,4
25,PHL020P1M,Thermodynamics and Equilibrium Statistical Mechanics,Departmental Core,THEORY,PH,3,3,0,0,IITJMU11036,Ajeet Kumar Sharma,,,2019-20_2020-21_2021-22_2022-23,6
26,MEL042U3E,Introduction to Bioinspired Engineering,Open Elective,THEORY,BB_CH_CE_CS_EE_MT_ME,3,3,0,0,IITJMU40005,R. Uma Shankar,IITJMU11015,Anand Kumar Subramaniyan,2019-20_2020-21_2021-22_2022-23,58
27,BBL004U3E,Biosensors,Open Elective,THEORY,BB_CH_CE_CS_EE_MT_ME,3,3,0,0,IITJMU11069,Dharitri Rath,IITJMU11101,Vinay Sharma,2019-20_2020-21_2021-22_2022-23,
28,BBL002U3E,Biophysics and Biochemistry,Open Category,THEORY,BB_CH_CE_CS_EE_MT_ME,3,3,0,0,IITJMU11101,Vinay Sharma,IITJMU11036,Ajeet Kumar Sharma,2019-20_2020-21_2021-22_2022-23,
29,BBL011P6M,Research Methods and Ethics,Open Elective,THEORY,BB_CH_CY_CE_CS_EE_HU_MT_MA_ME_PH,2,2,0,0,IITJMU40005,R. Uma Shankar,IITJMU11093,Suresh Roland Devasahayam,2019-20_2020-21_2021-22_2022-23,6
30,HSL044U2M,Globalization and Development,Institute Core,THEORY,HU,2,2,0,0,IITJMU11056,Sayantan Mandal,,,2019-20_2020-21_2021-22_2022-23,181
31,HSL045U2M,Higher Education and Society,Institute Core,THEORY,HU,2,2,0,0,IITJMU11056,Sayantan Mandal,,,2019-20_2020-21_2021-22_2022-23,143
