CLASSROOM INFO
TABLE FOR AC-2-01
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-02
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-03
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-04
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-12
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-13
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-14
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
