Slno,Course Code,Course Name,Course Category,Course Type,Credits,Lectures,Tutorial,Practical,Course cordinator Id,Course cordinator Name,Semester/Batch,Students registered,Lab_id,Instructor,bucket,batches_prac,end
1,PHL020P1M,Thermodynamics and Equilibrium Statistical Mechanics,Departmental Core,THEORY,3,3,0,0,IITJMU11036,Ajeet Kumar Sharma,1,6,,,,,end
71,MTD002U2M,Characterization of Materials,Departmental Core,THEORY,3,3,1,0,IITJMU11096,Suman Sarkar,1,29,,,,,end
89,EEP082U3G,Hardware Description Language Laboratory,Departmental Core,PRACTICAL,1,0,0,2,IITJMU11043,Satyadev Ahlawat,1,34,,,,,end
126,CE-1-02(PO),CAD,Institute Core,PRACTICAL,2,0,0,3,IITJMU11047,Sameer Kumar Sarma Pachalla,1,111,,,,,end
118,EE-1-03(TO),Electronics System,Institute Core,THEORY,3,3,1,0,IITJMU11107,Archana Rajput,1,79,,,,,end
133,CS-1-02(MO),Data Structure and Algorithms,Institute Core,THEORY / PRACTICAL,3,2,0,2,IITJMU11024,Vinit Jakhetiya,1,173,,,,,end
95,SMD002U1M,Linear Algebra and Differential Equations,Institute Core,THEORY,3,3,1,0,IITJMU11074,Manmohan Vashisth,1,37,,,,,end
112,EFD007U2M,Mechanics of Solids,Institute Core,THEORY,3,3,1,0,IITJMU11016,Rajendra Kumar Varma,1,58,,,,,end
136,MA-1-02(TO),Linear Algebra and Differential Equations,Institute Core,THEORY,3,3,1,0,IITJMU11074,Manmohan Vashisth,1,216,,,,,end
142,DIP002U1M,Product Visualization,Institute Core,PRACTICAL,2,0,0,4,IITJMU11047,Sameer Kumar Sarma Pachalla,1,,,,,,end
103,EFL005U1M,Basic Electronics Engineering,Institute Core,THEORY,3,3,0,0,IITJMU11026,Alok Kumar Saxena,1,38,,,,,end
44,CEL010P4G,Disaster Management,Open Elective,THEORY,3,3,0,0,IITJMU11085,Chembolu Vinay,1,18,,,,,end
120,HSL072U3E,Introduction to Sustainable Development,Open Elective,THEORY,2,2,0,0,IITJMU11062,Amitash Ojha,1,93,,,,,end
121,PH-1-03(TO),Quantum Mechanics & Electromagnetic Theory,Institute Core,THEORY,3,3,0,0,IITJMU20035,S. R. K. Chaitanya Indukuri,1,105,,,,,end
122,PH-1-02(PO),Physics Laboratory,Institute Core,THEORY,2,0,0,3,IITJMU11011,Sanat Kumar Tiwari,1,106,,,,,end
32,EEL005P1M,Adaptive Signal Processing,Departmental Core,THEORY,3,3,0,0,IITJMU11009,Karan Nathwani,2,15,,,,,end
73,MTD003U2M,Phase Transformations in Materials,Departmental Core,THEORY,3,3,1,0,IITJMU11060,Shantanu Vijay Madge,2,29,,,,,end
78,CEL003U2M,Structural Analysis,Departmental Core,THEORY,3,3,0,0,IITJMU11051,Rimen Jamatia,2,32,,,,,end
90,CEL001U2M,Transportation and Highway Engineering,Departmental Core,THEORY,3,3,0,0,IITJMU11054,Ankit Kathuria,2,34,,,,,end
107,EE-1-04(TO),Network Analysis and Synthesis,Departmental Core,THEORY,3,3,1,0,IITJMU11010,Badri Narayan Subudhi,2,40,,,,,end
108,CSC029U2M,Principles of Programming Languages,Departmental Core,THEORY / PRACTICAL,4,3,0,2,IITJMU11059,Subhasis Bhattacharjee,2,41,,,,,end
