PRINT CALLED
TABLE FOR CIVIL
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,EFD011U3M       ,HSS             ,EFD011U3M(TUT)  ,CEL006U3M       ,CEL007U2M       ,LUNCHBREAK      ,OE1             ,HSS      (PRA)  ,HSS      (PRA)  ,empty           ,empty           ,
TUESDAY,EFD011U3M       ,HSS             ,DIP004U3M(PRA)  ,DIP004U3M(PRA)  ,CEL006U3M       ,LUNCHBREAK      ,OE1             ,CEL007U2M       ,EFP011U3M(PRA)  ,EFP011U3M(PRA)  ,empty           ,
WEDNESDAY,EFD011U3M       ,HSS             ,CEL006U3M       ,CEL007U2M       ,empty           ,LUNCHBREAK      ,OE1             ,OE2             ,OE1(PRA)        ,OE1(PRA)        ,empty           ,
THURSDAY,CEP007U3M(PRA)  ,CEP007U3M(PRA)  ,CEP007U3M(PRA)  ,empty           ,empty           ,LUNCHBREAK      ,empty           ,OE2             ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,LUNCHBREAK      ,OE2             ,OE2(PRA)        ,OE2(PRA)        ,empty           ,empty           ,
TABLE FOR CSE
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,EFD011U3M       ,HSS             ,EFD011U3M(TUT)  ,CSC030U3M       ,CSC031U3M       ,LUNCHBREAK      ,OE1             ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,EFD011U3M       ,HSS             ,HSS      (PRA)  ,HSS      (PRA)  ,CSC030U3M       ,LUNCHBREAK      ,OE1             ,CSC031U3M       ,DIP004U3M(PRA)  ,DIP004U3M(PRA)  ,empty           ,
WEDNESDAY,EFD011U3M       ,HSS             ,EFP011U3M(PRA)  ,EFP011U3M(PRA)  ,CSC030U3M       ,LUNCHBREAK      ,OE1             ,OE2             ,OE1(PRA)        ,OE1(PRA)        ,CSC031U3M       ,
